Order date,Continued date,ITC case No.,DOC case No.,AD/CVD,Review Sequence Group No.,Product Group,Product,Country,Column2,Column3,Fed Reg,Pub date,Link,Column1,Column12
12/05/2019,,C-623,C-570-111,C,267,MSC,Vertical Metal File Cabinets,China,,,84 FR 68121,12/13/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-13/pdf/2019-27028.pdf,,
12/06/2019,,A-1444,A–549–840,A,274,ISO,Carbon and Alloy Steel Threaded Rod,Thailand ,,,"84 FR 68108
",2019/12/13,https://www.govinfo.gov/content/pkg/FR-2019-12-13/pdf/2019-27044.pdf,,
12/11/2019,,A-1425,A-570-093,A,268,ISO,Refillable Stainless Steel Kegs,China ,,," 84 FR 68405
",2019/12/16,https://www.govinfo.gov/content/pkg/FR-2019-12-16/pdf/2019-27128.pdf,,
12/11/2019,,C-610,C-570-094,C,268,ISO,Refillable Stainless Steel Kegs,China,,,84 FR 68400,2019/12/16,https://www.govinfo.gov/content/pkg/FR-2019-12-16/pdf/2019-27129.pdf,,
12/12/2019,,A-1424,"A-570-092
",A,269,MSC,Mattresses ,China ,,,"84 FR 68395
",2019/12/16,https://www.govinfo.gov/content/pkg/FR-2019-12-16/pdf/2019-27166.pdf,,
12/16/2019,,A-1438,A-559-808,A,270,CH,Acetone ,Singapore,,,84 FR 70146 ,2019/12/20,https://www.govinfo.gov/content/pkg/FR-2019-12-20/pdf/2019-27533.pdf,,
12/16/2019,,A-1440,A-469-819,A,270,CH,Acetone ,Spain ,,,84 FR 70146 ,2019/12/20,https://www.govinfo.gov/content/pkg/FR-2019-12-20/pdf/2019-27533.pdf,,
12/17/2019,,A-1428,A-570-095,A,271,MM,Aluminum Wire and Cable ,China,,,84 FR 70496 ,12/23/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-23/pdf/2019-27641.pdf,,
12/17/2019,,C-611,C-570-096,C,271,MM,Aluminum Wire and Cable ,China,,,84 FR 70496 ,12/23/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-23/pdf/2019-27641.pdf,,
02/20/2009,,A-1430,A-533-885,A,272,TX,Polyester Textured Yarn,India ,,,85 FR 1298,2020/01/06,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2020-00247.pdf,,
01/06/2020,,A-1429,C-533-097,A,272,TX,Polyester Textured Yarn,China ,,,85 FR 1298,2020/01/06,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2020-00247.pdf,,
01/06/2020,,C-612,C-533-098,C,272,TX,Polyester Textured Yarn,China,,,85 FR 1301,2020/01/06,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2020-00245.pdf,,
01/06/2020,,C-613,C-533–886,C,272,TX,Polyester Textured Yarn,India ,,,85 FR 1301,2020/01/06,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2020-00245.pdf,,
01/06/2020,,A-1430,C-533-098,C,272,TX,Polyester Textured Yarn,India ,,,85 FR 1301,2020/01/06,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2020-00247.pdf,,
01/24/2020,,A-1443,A-583-865,A,274,ISO,Carbon and Alloy Steel Threaded Rod,Taiwan ,,,85 FR 6511,2020/02/05,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02274.pdf,,
03/17/2020,,A-1439,A-580-899,A,270,CH,Acetone,South Africa,,,85 FR 17866,2020/03/31,https://www.govinfo.gov/content/pkg/FR-2020-03-31/pdf/2020-06639.pdf,,
03/17/2020,,A-1436,A-791-824,A,270,CH,Acetone,Korea,,,85 FR 17866,2020/03/31,https://www.govinfo.gov/content/pkg/FR-2020-03-31/pdf/2020-06639.pdf,,
03/17/2020,,A-1435,A-423-814,A,270,CH,Acetone ,Belgium,,,85 FR 17866,2020/03/31,https://www.govinfo.gov/content/pkg/FR-2020-03-31/pdf/2020-06639.pdf,,
04/03/2020,,A-1441,A-570-104,A,274,ISO,Carbon and Alloy Steel Threaded Rod,China,,,85 FR 19929,2020/04/09,https://www.govinfo.gov/content/pkg/FR-2020-04-09/pdf/2020-07482.pdf,,
04/03/2020,,A-1442,A-533-887,A,274,ISO,Carbon and Alloy Steel Threaded Rod,India,,,85 FR 19925,2020/04/09,https://www.govinfo.gov/content/pkg/FR-2020-04-09/pdf/2020-07481.pdf,,
04/03/2020,,C-619,C-533-888,C,274,ISO,Carbon and Alloy Steel Threaded Rod,India,,,85 FR 19927,2020/04/09,https://www.govinfo.gov/content/pkg/FR-2020-04-09/pdf/2020-07483.pdf,,
04/03/2020,,C-618, C-570-105,C,274,ISO,Carbon and Alloy Steel Threaded Rod,China,,,85 FR 19927,2020/04/09,https://www.govinfo.gov/content/pkg/FR-2020-04-09/pdf/2020-07483.pdf,,
04/13/2020,,C-620,C-570-107,C,278,MSC,Wooden Cabinets and Vanities,China,,,85 FR 22134,2020/04/21,https://www.govinfo.gov/content/pkg/FR-2020-04-21/pdf/2020-08546.pdf,,
04/13/2020,,A-1445,A-570-106,A,278,MSC,Wooden Cabinets and Vanities,China,,,85 FR 22126,2020/04/21,https://www.govinfo.gov/content/pkg/FR-2020-04-21/pdf/2020-08544.pdf,,
05/26/2020,,A-1447,A-570-108,A,279,MSC,Ceramic Tile,China,,,85 FR 33089,2020/06/01,https://www.govinfo.gov/content/pkg/FR-2020-06-01/pdf/2020-11721.pdf,,
05/26/2020,,C-621,C-570-109 ,C,279,MSC,Ceramic Tile,China,,,85 FR 33119,2020/06/01,https://www.govinfo.gov/content/pkg/FR-2020-06-01/pdf/2020-11722.pdf,,
06/15/2020,,A-1450,A-533-889,A,280,PRSG,Quartz Surface Products,India,,,85 FR 37422,2020/06/22,https://www.govinfo.gov/content/pkg/FR-2020-06-22/pdf/2020-13401.pdf,,
06/15/2020,,A-1451,A-489-837,A,280,PRSG,Quartz Surface Products,Turkey,,,85 FR 37422,2020/06/22,https://www.govinfo.gov/content/pkg/FR-2020-06-22/pdf/2020-13401.pdf,,
06/15/2020,,C-624,C-489-838,C,280,PRSG,Quartz Surface Products,India,,,85 FR 37431,2020/06/22,https://www.govinfo.gov/content/pkg/FR-2020-06-22/pdf/2020-13374.pdf,,
2020/06/15,,C-625,C-533-890,C,280,PRSG,Quartz Surface Products,Turkey,,,85 FR 37431,2020/06/22,https://www.govinfo.gov/content/pkg/FR-2020-06-22/pdf/2020-13374.pdf,,
07/14/2020,,A-1452,A-570-112,A,281,MSC,Certain Collated Steel Staples,China,,,85 FR 43815,2020/07/20,https://www.govinfo.gov/content/pkg/FR-2020-07-20/pdf/2020-15622.pdf,,
2020/07/14,,C-626,C-570-113,C,281,MSC,Certain Collated Steel Staples,China,,,85 FR 43813,2020/07/20,https://www.govinfo.gov/content/pkg/FR-2020-07-20/pdf/2020-15623.pdf,,
08/20/2020,,A-1458,A-122-867,A,,ME,Utility Scale Wind Towers,,Canada,,85 FR 52546,2020/08/26,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,
08/20/2020,,A-1459,A-560-833,A,,ME,Utility Scale Wind Towers,,Indonesia,,85 FR 52546,2020/08/26,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,
08/20/2020,,A-1460,A-580-902,A,,ME,Utility Scale Wind Towers,,Korea,,85 FR 52546,2020/08/26,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,
08/20/2020,,A-1461,A-552-825,A,,ME,Utility Scale Wind Towers,,Vietnam,,85 FR 52546,2020/08/26,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,
08/20/2020,,701-TA-627,C-122-868,C,,ME,Utility Scale Wind Towers,,Canada ,,85 FR 52546,2020/08/26,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,
08/20/2020,,701-TA-628,C-560-834,C,,ME,Utility Scale Wind Towers,,Indonesia,,85 FR 52543,2020/08/26,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18793.pdf,,
08/20/2020,,701-TA-629,C--552-826,C,,ME,Utility Scale Wind Towers,,Vietnam,,85 FR 52543,2020/08/26,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18793.pdf,,
